category,category_label,name,legal_name,town,url,website,website_source
detskiy-otdyh,Детский отдых / лагерь,Евроклуб (Киевское шоссе),Евроклуб (Киевское шоссе),деревня Валуево,https://moskva.fulledu.ru/detskiy-otdyh/evroklub-kievskoe-shosse/about/,https://mycamps.ru/camp/evroklub-kievskoe-shosse,search:auto
detskiy-otdyh,Детский отдых / лагерь,"Евроклуб (Новорижское ш, 90 км от Москвы)","Евроклуб (Новорижское ш, 90 км от Москвы)",деревня Нововолково,https://moskva.fulledu.ru/detskiy-otdyh/evroklub-novorizhskoe-sh-90-km-ot-moskvy/about/,https://camp.mosreg.ru/camps,search:auto
detskiy-otdyh,Детский отдых / лагерь,ЕГЭ-экспресс: 7дней на100 баллов!,ЕГЭ-экспресс: 7дней на100 баллов!,Москва,https://moskva.fulledu.ru/detskiy-otdyh/programma-ege-ekspress-7dney-na100-ballov/about/,https://tetrika-school.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Занято.ru,Занято.ru,,https://moskva.fulledu.ru/detskiy-otdyh/zanyatoru/about/,https://glubokoe.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Заря на озере Круглом,Заря на озере Круглом,деревня Рыбаки,https://moskva.fulledu.ru/detskiy-otdyh/zarya-na-ozere-kruglom/about/,https://evpat.ru/detskij-otdykh-detskie-lagerya-detskie-sanatorii/detskij-lager-gornij.html,search:auto
detskiy-otdyh,Детский отдых / лагерь,Звезда успеха,Звезда успеха,Москва,https://moskva.fulledu.ru/detskiy-otdyh/zvezda-uspeha/about/,https://evpat.ru/detskij-otdykh-detskie-lagerya-detskie-sanatorii/detskij-lager-laspi.html,search:auto
detskiy-otdyh,Детский отдых / лагерь,Звенигород,Звенигород,село Шарапово,https://moskva.fulledu.ru/detskiy-otdyh/zvenigorod/about/,https://mir-hotels.ru/hotel/3921-GOOD-WIN-CAMP-gud-vin-kemp-detskiy-ozdoroviteljniy-lagerj/index,search:auto
detskiy-otdyh,Детский отдых / лагерь,Зеленый шум,Зеленый шум,деревня Лужки,https://moskva.fulledu.ru/detskiy-otdyh/zelenyy-shum/about/,https://camp.mosreg.ru/camps/108,search:auto
detskiy-otdyh,Детский отдых / лагерь,Исток,Исток,Фрязино,https://moskva.fulledu.ru/detskiy-otdyh/istok/about/,https://centerkurort.ru/detskij-lager-istok-fryazino,search:auto
detskiy-otdyh,Детский отдых / лагерь,Калейдоскоп Игр,Калейдоскоп Игр,,https://moskva.fulledu.ru/detskiy-otdyh/kaleydoskop-igr/about/,https://evpat.ru/detskij-otdykh-detskie-lagerya-detskie-sanatorii/detskij-lager-multfilm.html,search:bing
detskiy-otdyh,Детский отдых / лагерь,Каникулы-Браво,Каникулы-Браво,поселок дома отдыха Бекасово,https://moskva.fulledu.ru/detskiy-otdyh/kanikuly-bravo/about/,https://bekasovo.ru/gallery,search:auto
detskiy-otdyh,Детский отдых / лагерь,Каролина,Каролина,деревня Любучаны,https://moskva.fulledu.ru/detskiy-otdyh/karolina/about/,https://evpat.ru/detskij-otdykh-detskie-lagerya-detskie-sanatorii/detskij-lager-laspi.html,search:auto
detskiy-otdyh,Детский отдых / лагерь,КИД-клуб KiDS,КИД-клуб KiDS,,https://moskva.fulledu.ru/detskiy-otdyh/kid-klub-kids/about/,https://topcheck.ru/detskij-lager-otdykha/moskva/misty-kids-club-52867450586,search:auto
detskiy-otdyh,Детский отдых / лагерь,КИД-клуб KIDS,КИД-клуб KIDS,деревня Пешки,https://moskva.fulledu.ru/detskiy-otdyh/kid-klub-kids-611-2873/about/,,
detskiy-otdyh,Детский отдых / лагерь,Кид-клуб. Musical Project Russia,Кид-клуб. Musical Project Russia,,https://moskva.fulledu.ru/detskiy-otdyh/kid-klub-musical-project-russia/about/,,
detskiy-otdyh,Детский отдых / лагерь,КИД-клуб. Лагерь Выходного Дня,КИД-клуб. Лагерь Выходного Дня,деревня Колонтаево,https://moskva.fulledu.ru/detskiy-otdyh/kid-klub-lager-vyhodnogo-dnya/about/,,
detskiy-otdyh,Детский отдых / лагерь,Кидс Проджектс. Summer Vocal Campсо Львом Аксельродом,Кидс Проджектс. Summer Vocal Campсо Львом Аксельродом,поселок городского типа Черкизово,https://moskva.fulledu.ru/detskiy-otdyh/kids-prodzhekts-summer-vocal-campso-lvom-akselrodom/about/,,
detskiy-otdyh,Детский отдых / лагерь,Кидс Проджектс. Бесшабашная Послешколия,Кидс Проджектс. Бесшабашная Послешколия,,https://moskva.fulledu.ru/detskiy-otdyh/kids-prodzhekts-besshabashnaya-posleshkoliya/about/,,
detskiy-otdyh,Детский отдых / лагерь,Кидс проджектс. Живая история,Кидс проджектс. Живая история,Королев,https://moskva.fulledu.ru/detskiy-otdyh/kids-prodzhekts-zhivaya-istoriya/about/,,
detskiy-otdyh,Детский отдых / лагерь,Киностарт,Киностарт,село Петровское,https://moskva.fulledu.ru/detskiy-otdyh/kinostart/about/,,
detskiy-otdyh,Детский отдых / лагерь,Кислород,Кислород,поселок гидроузла им. Куйбышева,https://moskva.fulledu.ru/detskiy-otdyh/kislorod/about/,,
detskiy-otdyh,Детский отдых / лагерь,Классный отдых. Однодневные выезды для групп,Классный отдых. Однодневные выезды для групп,поселок гидроузла им. Куйбышева,https://moskva.fulledu.ru/detskiy-otdyh/klassnyy-otdyh-odnodnevnye-vyezdy-dlya-grupp/about/,,
detskiy-otdyh,Детский отдых / лагерь,Ковчег,Ковчег,Раменское,https://moskva.fulledu.ru/detskiy-otdyh/kovcheg/about/,,
detskiy-otdyh,Детский отдых / лагерь,Коллекция приключений. Active-camp,Коллекция приключений. Active-camp,,https://moskva.fulledu.ru/detskiy-otdyh/kollekciya-priklucheniy-active-camp/about/,,
detskiy-otdyh,Детский отдых / лагерь,Коллекция приключений. Первая тропа,Коллекция приключений. Первая тропа,,https://moskva.fulledu.ru/detskiy-otdyh/kollekciya-priklucheniy-pervaya-tropa/about/,,
detskiy-otdyh,Детский отдых / лагерь,Коллекция приключений. Рыцарский замок,Коллекция приключений. Рыцарский замок,,https://moskva.fulledu.ru/detskiy-otdyh/kollekciya-priklucheniy-rycarskiy-zamok/about/,,
detskiy-otdyh,Детский отдых / лагерь,Коллекция приключений. Секретные материалы,Коллекция приключений. Секретные материалы,поселок Быково,https://moskva.fulledu.ru/detskiy-otdyh/kollekciya-priklucheniy-sekretnye-materialy/about/,,
detskiy-otdyh,Детский отдых / лагерь,Коллекция приключений. Чудеса науки,Коллекция приключений. Чудеса науки,садовое товарищество Подмосковье,https://moskva.fulledu.ru/detskiy-otdyh/kollekciya-priklucheniy-chudesa-nauki/about/,,
