category,category_label,name,legal_name,town,url,website
school,Школа,Алабинская средняя общеобразовательная школа с углубленным изучением отдельных предметов,Алабинская средняя общеобразовательная школа с углубленным изучением отдельных предметов,поселок городского типа Калининец,https://moskva.fulledu.ru/school/alabinskaya-srednyaya-obscheobrazovatelnaya-shkola-s-uglublennym-izucheniem-otdelnyh-predmetov/about/,
school,Школа,Алгоритмика,Алгоритмика,Москва,https://moskva.fulledu.ru/school/algoritmika/about/,
school,Школа,Алферовская средняя общеобразовательная школа,Муниципальная Общеобразовательная Организация - Алферовская Основная Общеобразовательная Школа,рабочий посёлок Решетниково,https://moskva.fulledu.ru/school/alferovskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Алые паруса,"Муниципальное Учреждение Дополнительного Образования ""детская Музыкальная Хоровая Школа ""алые Паруса""",Красногорск,https://moskva.fulledu.ru/school/shkola-moudod-dmhsh-alye-parusa/about/,
school,Школа,Альтаир,Альтаир,Москва,https://moskva.fulledu.ru/school/shkola-gumanitarnaya-gimnaziya-altair/about/,
school,Школа,Ангеловская средняя общеобразовательная школа,Ангеловская средняя общеобразовательная школа,село Ангелово,https://moskva.fulledu.ru/school/angelovskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,АНДРЕЕВСКАЯ СОШ,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АНДРЕЕВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА,поселок городского типа Андреевка,https://moskva.fulledu.ru/school/shkola-3940-127098/about/,
school,Школа,Андреевская средняя общеобразовательная школа,Андреевская средняя общеобразовательная школа,поселок городского типа Андреевка,https://moskva.fulledu.ru/school/andreevskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Анциферовская основная общеобразовательная школа Орехово-Зуевского муниципального района Московской области,Анциферовская основная общеобразовательная школа Орехово-Зуевского муниципального района Московской области,деревня Анциферово,https://moskva.fulledu.ru/school/ancifirovskaya-osnovnaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Апрелевская основная общеобразовательная школа № 5,5,Апрелевка,https://moskva.fulledu.ru/school/aprelevskaya-osnovnaya-obscheobrazovatelnaya-shkola-5/about/,
school,Школа,Апрелевская средняя общеобразовательная школа № 2,Апрелевская средняя общеобразовательная школа № 2,,https://moskva.fulledu.ru/school/aprelevskaya-srednyaya-obscheobrazovatelnaya-shkola-2/about/,
school,Школа,Апрелевская средняя общеобразовательная школа №3 с углубленным изучением отдельных предметов,Апрелевская средняя общеобразовательная школа №3 с углубленным изучением отдельных предметов,Апрелевка,https://moskva.fulledu.ru/school/aprelevskaya-srednyaya-obscheobrazovatelnaya-shkola-3-s-uglublnnym-izucheniem-otdelnyh-predmetov/about/,
school,Школа,Архангельская средняя общеобразовательная школа имени А. Н. Косыгина,Архангельская средняя общеобразовательная школа имени А. Н. Косыгина,поселок Архангельское,https://moskva.fulledu.ru/school/arhangelskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,"Ассоциированная школа ЮНЕСКО ""Олимп""","Ассоциированная школа ЮНЕСКО ""Олимп""",Дзержинский,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-2-2710-458859/about/,
school,Школа,Астаповская основная общеобразовательная школа,Астаповская основная общеобразовательная школа,поселок совхоза Астапово,https://moskva.fulledu.ru/school/astapovskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Астаповская основная общеобразовательная школа,Муниципальное Бюджетное Общеобразовательное Учреждение Астаповская Основная Общеобразовательная Школа,поселок Красная Пойма,https://moskva.fulledu.ru/school/mbou-astapovskaya-osnovnaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Астрадамское,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1454 «Центр образования Тимирязевский""",Москва,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-207/about/,
school,Школа,Атепцевская средняя общеобразовательная школа,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АТЕПЦЕВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА,село Атепцево,https://moskva.fulledu.ru/school/atepcevskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,АТОН,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""ШКОЛА ""АТОН""",Электросталь,https://moskva.fulledu.ru/school/anoo-shkola-aton-171490/about/,
school,Школа,АУЦ «Северный Ветер,АУЦ «Северный Ветер,Москва,https://moskva.fulledu.ru/school/chu-dpo-auc-severnyy-veter/about/,
school,Школа,Ачкасовская основная общеобразовательная школа,Ачкасовская основная общеобразовательная школа,село Ачкасово,https://moskva.fulledu.ru/school/achkasovskaya-osnovnaya-obscheobrazovatelnaya-shkola/about/,
