category,category_label,name,legal_name,town
detskiy-otdyh,Детский отдых / лагерь,petrushka,petrushka,
detskiy-otdyh,Детский отдых / лагерь,petrushka vip,petrushka vip,
detskiy-otdyh,Детский отдых / лагерь,plamya 5210,plamya 5210,
detskiy-otdyh,Детский отдых / лагерь,plamya 8797,plamya 8797,
detskiy-otdyh,Детский отдых / лагерь,planeta angliyskogo,planeta angliyskogo,
detskiy-otdyh,Детский отдых / лагерь,planeta buduschego,planeta buduschego,
detskiy-otdyh,Детский отдых / лагерь,poka mama na rabote,poka mama na rabote,
detskiy-otdyh,Детский отдых / лагерь,prof it,prof it,
detskiy-otdyh,Детский отдых / лагерь,programma ege ekspress 7dney na100 ballov,programma ege ekspress 7dney na100 ballov,
detskiy-otdyh,Детский отдых / лагерь,pyat zvezd,pyat zvezd,
detskiy-otdyh,Детский отдых / лагерь,radostru,radostru,
detskiy-otdyh,Детский отдых / лагерь,raketa 1410,raketa 1410,
detskiy-otdyh,Детский отдых / лагерь,rio,rio,
detskiy-otdyh,Детский отдых / лагерь,robin gud,robin gud,
detskiy-otdyh,Детский отдых / лагерь,robinzonada biznes lager,robinzonada biznes lager,
detskiy-otdyh,Детский отдых / лагерь,robinzonada civilizaciya,robinzonada civilizaciya,
detskiy-otdyh,Детский отдых / лагерь,robinzonada deti shpionov,robinzonada deti shpionov,
detskiy-otdyh,Детский отдых / лагерь,robinzonada deti shpionov sizucheniem angliyskogo yazyka,robinzonada deti shpionov sizucheniem angliyskogo yazyka,
detskiy-otdyh,Детский отдых / лагерь,robinzonada hogvarts,robinzonada hogvarts,
detskiy-otdyh,Детский отдых / лагерь,robinzonada hogvarts turnirvolshebnikov s izucheniem angliyskogoyazyka,robinzonada hogvarts turnirvolshebnikov s izucheniem angliyskogoyazyka,
detskiy-otdyh,Детский отдых / лагерь,robinzonada ochevidnoe neveroyatnoe,robinzonada ochevidnoe neveroyatnoe,
detskiy-otdyh,Детский отдых / лагерь,robinzonada ochevidnoe neveroyatnoes izucheniem angliyskogo yazyka,robinzonada ochevidnoe neveroyatnoes izucheniem angliyskogo yazyka,
detskiy-otdyh,Детский отдых / лагерь,robinzonada odnazhdy v chikago sizucheniem angliyskogo yazyka,robinzonada odnazhdy v chikago sizucheniem angliyskogo yazyka,
detskiy-otdyh,Детский отдых / лагерь,robinzonada v dzhaze tolko devushki,robinzonada v dzhaze tolko devushki,
detskiy-otdyh,Детский отдых / лагерь,robinzonada v gostyah u pitera pena,robinzonada v gostyah u pitera pena,
detskiy-otdyh,Детский отдых / лагерь,robinzonadataynyy kod mayya,robinzonadataynyy kod mayya,
detskiy-otdyh,Детский отдых / лагерь,robocamp,robocamp,
detskiy-otdyh,Детский отдых / лагерь,rodnik 6171,rodnik 6171,
detskiy-otdyh,Детский отдых / лагерь,rok lager pervyy akkord,rok lager pervyy akkord,
detskiy-otdyh,Детский отдых / лагерь,romashkino,romashkino,
detskiy-otdyh,Детский отдых / лагерь,round the world,round the world,
detskiy-otdyh,Детский отдых / лагерь,salut 9507,salut 9507,
detskiy-otdyh,Детский отдых / лагерь,schastlivye lica,schastlivye lica,
detskiy-otdyh,Детский отдых / лагерь,selo,selo,
detskiy-otdyh,Детский отдых / лагерь,shkola masterov,shkola masterov,
detskiy-otdyh,Детский отдых / лагерь,shkola pobed,shkola pobed,
detskiy-otdyh,Детский отдых / лагерь,skachki na prokachku akademiya verhovoy ezdy,skachki na prokachku akademiya verhovoy ezdy,
detskiy-otdyh,Детский отдых / лагерь,slon i zhiraf,slon i zhiraf,
detskiy-otdyh,Детский отдых / лагерь,sokolnok,sokolnok,
detskiy-otdyh,Детский отдых / лагерь,sozvezdiya 2461,sozvezdiya 2461,
detskiy-otdyh,Детский отдых / лагерь,strana oz,strana oz,
detskiy-otdyh,Детский отдых / лагерь,studiya tancev i fitnesa dancera,studiya tancev i fitnesa dancera,
detskiy-otdyh,Детский отдых / лагерь,studycamp,studycamp,
detskiy-otdyh,Детский отдых / лагерь,sunny summer abc,sunny summer abc,
detskiy-otdyh,Детский отдых / лагерь,tennis park,tennis park,
detskiy-otdyh,Детский отдых / лагерь,top kids,top kids,
detskiy-otdyh,Детский отдых / лагерь,trening centr albiny manzullinoyzhemchuzhiny vostoka samarkand ibuhara,trening centr albiny manzullinoyzhemchuzhiny vostoka samarkand ibuhara,
detskiy-otdyh,Детский отдых / лагерь,trening lager creativecamp,trening lager creativecamp,
detskiy-otdyh,Детский отдых / лагерь,turistnok,turistnok,
detskiy-otdyh,Детский отдых / лагерь,ulicy mira,ulicy mira,
detskiy-otdyh,Детский отдых / лагерь,umnyy lager,umnyy lager,
detskiy-otdyh,Детский отдых / лагерь,unium biznes tehnologii,unium biznes tehnologii,
detskiy-otdyh,Детский отдых / лагерь,unium fakultet perspektiv,unium fakultet perspektiv,
detskiy-otdyh,Детский отдых / лагерь,unium gia i ege inkubator,unium gia i ege inkubator,
detskiy-otdyh,Детский отдых / лагерь,unium inostrannye yazyki,unium inostrannye yazyki,
detskiy-otdyh,Детский отдых / лагерь,unium iskusstvo i tvorchestvo,unium iskusstvo i tvorchestvo,
